order,family,genus,species,ag,mating,care,spawning,pairs.groups,pairs.arts
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_baerii,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_brevirostrum,0,1,0,1,NA,1
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_fulvescens,0,1,0,1,1,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_gueldenstaedtii,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_medirostris,0,0,0,0,0,0
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_nudiventris,0,1,0,0,0,0
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_oxyrinchus,0,1,0,1,1,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_persicus,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_ruthenus,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_sinensis,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_stellatus,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_sturio,0,1,0,0,0,0
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_transmontanus,0,0,0,0,0,0
Acipenseriformes,Acipenseridae,Huso,Huso_dauricus,0,NA,0,NA,NA,NA
Acipenseriformes,Acipenseridae,Huso,Huso_huso,0,NA,0,NA,NA,NA
Acipenseriformes,Polyodontidae,Polyodon,Polyodon_spathula,0,1,0,1,1,NA
Albuliformes,Albulidae,Albula,Albula_vulpes,0,1,0,1,1,NA
Albuliformes,Albulidae,Nemoossis,Pterothrissus_belloci,0,1,0,1,1,NA
Albuliformes,Albulidae,Pterothrissus,Pterothrissus_gissu,0,1,0,1,1,NA
Amiiformes,Amiidae,Amia,Amia_calva,0,0,1,0,0,0
Anguilliformes,Anguillidae,Anguilla,Anguilla_anguilla,0,1,0,1,1,NA
Anguilliformes,Chlopsidae,Chilorhinus,Chilorhinus_platyrhynchus,0,NA,NA,NA,NA,NA
Anguilliformes,Chlopsidae,Chilorhinus,Chilorhinus_suensonii,0,NA,0,NA,NA,NA
Anguilliformes,Chlopsidae,Kaupichthys,Kaupichthys_hyoproroides,0,NA,NA,NA,NA,NA
Anguilliformes,Colocongridae,Coloconger,Coloconger_cadenati,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Acromycter,Acromycter_perturbator,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_anago,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_marginatum,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_selenops,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Bathycongrus retrotinctus,Bathycongrus_retrotinctus,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Coloconger,Coloconger_meadi,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Coloconger,Coloconger_raniceps,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_conger,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_myriaster,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_oceanicus,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Congriscus,Congriscus_megastomus,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Gnathophis,Gnathophis_habenatus,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Gnathophis,Gnathophis_heterognathos,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Heteroconger,Heteroconger_longissimus,0,NA,NA,0,0,0
Anguilliformes,Congridae,Paraconger,Paraconger_notialis,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Pseudophichthys,Pseudophichthys_splendens,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Rhynchoconger,Rhynchoconger_flavus,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Rhynchoconger,Rhynchoconger_gracilior,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Xenomystax,Xenomystax_atrarius,0,NA,NA,NA,NA,NA
Anguilliformes,Congridae,Xenomystax,Xenomystax_congroides,0,NA,NA,NA,NA,NA
Anguilliformes,Derichthyidae,Derichthys,Derichthys_serpentinus,0,NA,0,NA,NA,NA
Anguilliformes,Derichthyidae,Nessorhamphus,Nessorhamphus_ingolfianus,0,NA,NA,NA,NA,NA
Anguilliformes,Derichthyidae,Nessorhamphus ,Nessorhamphus_danae,0,NA,NA,NA,NA,NA
Anguilliformes,Heterenchelyidae,Pythonichthys,Pythonichthys_asodes,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Congresox,Congresox_talabon,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Gavialiceps,Gavialiceps_taeniola,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Muraenesox,Muraenesox_cinereus,0,NA,0,NA,NA,NA
Anguilliformes,Muraenesocidae,Oxyconger,Oxyconger_leptognathus,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Echidna,Echidna_nebulosa,0,NA,0,NA,NA,NA
Anguilliformes,Muraenidae,Gymnomuraena,Gymnomuraena_zebra,0,NA,0,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_buroensis,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_hepaticus,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_herrei,0,1,0,1,1,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_margaritophorus,0,NA,0,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_meleagris,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_richardsonii,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_undulatus,0,NA,NA,NA,NA,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_zonipectis,0,NA,NA,NA,NA,NA
Anguilliformes,Nemichthyidae,Avocettina,Avocettina_bowersii,0,NA,NA,NA,NA,NA
Anguilliformes,Nemichthyidae,Avocettina,Avocettina_infans,0,NA,0,NA,NA,NA
Anguilliformes,Nemichthyidae,Nemichthys,Nemichthys_scolopaceus,0,NA,0,NA,NA,NA
Anguilliformes,Nettastomatidae,Facciolella,Facciolella_equatorialis,0,NA,NA,NA,NA,NA
Anguilliformes,Nettastomatidae,Hoplunnis,Hoplunnis_macrura,0,NA,NA,NA,NA,NA
Anguilliformes,Nettastomatidae,Nettastoma,Nettastoma_melanurum,0,NA,0,NA,NA,NA
Anguilliformes,Nettastomatidae,Saurenchelys,Saurenchelys_fierasfer,0,NA,NA,NA,NA,NA
